# term	domain	pos	sense2_en	sense2_vi	sense2_context_keywords	review_note
acceleration	physics	noun	general increase in speed	sự tăng tốc	increase,speed,car,vehicle,rapid,velocity	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
accelerator	physics	noun	a device that increases speed		car,engine,pedal,vehicle,speed	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
ambience	economics	noun	the feeling of a place		place,room,atmosphere,setting,environment,feeling	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
annihilation	physics	noun	complete destruction	sự tiêu diệt	destruction,death,ruin,complete,eliminate	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
aperture	physics	noun	opening or gap	lỗ mở	hole,opening,door,window,gap	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
beta	economics	noun	an early test version		software,release,test,version,preview,development	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
buoyancy	physics	noun	ability to float	tính nổi	float,boat,swim,water,sea,life jacket	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
capital	economics	noun	city holding government	thủ đô	city,government,nation,state,political,administration	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
cohort	economics	noun	military unit	đơn vị quân đội	military,unit,soldier,army,regiment	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
color charge	physics	noun	visible color property	điện tích màu sắc	color,paint,red,blue,visual,appearance	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
conduction	physics	noun	act of guiding or managing	sự điều hành	management,leadership,guide,conduct,organization	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
critical point	physics	noun	decisive stage or moment	điểm then chốt	decision,turning,important,moment,crisis	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
current account	economics	noun	bank account for daily transactions	tài khoản thanh toán	bank,checking,deposit,withdrawal,card,personal	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
decay	physics	noun	gradual rotting or breakdown		rot,food,wood,gradual,breakdown,ruin	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
density	physics	noun	crowdedness or concentration	mật độ	crowded,population,city,concentration,packed	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
devise	economics	verb	legal transfer by will	di tặng bằng di chúc	will,inheritance,estate,bequeath,legal	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
discount rate	economics	noun	central-bank lending rate	lãi suất chiết khấu	central bank,monetary policy,lending,policy rate	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
dissonance	economics	noun	harsh clash of sounds	âm thanh nghịch tai	sound,music,noise,harmony,chord,melody	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
duality	physics	noun	state of being double	tính hai mặt	double,two,opposite,nature,character	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
dumping	economics	noun	unloading waste or goods	đổ bỏ	waste,garbage,rubbish,unloading,dispose	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
elasticity	economics	noun	physical flexibility	độ đàn hồi	stretch,flexible,rubber,material,physical	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
elliptical	physics	adjective	indirect or incomplete	gián tiếp	indirect,speech,omission,incomplete,sentence	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
entanglement	physics	noun	a complicated tangled involvement		tangled,complicated,relationship,involvement,confusion	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
entropy	physics	noun	gradual decline into disorder	sự hỗn loạn	decline,disorder,decay,chaos,system	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
equity	economics	noun	fairness or justice	công bằng	fairness,justice,equal,rights,impartial	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
ether	physics	noun	anesthetic chemical	hóa chất gây mê	anesthetic,surgery,chemical,smell,medical	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
field	physics	noun	open area of land	cánh đồng	farm,land,grass,meadow,open,agriculture	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
fission	physics	noun	splitting an atomic nucleus		split,division,cell,division,biological	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
flux	physics	noun	continuous flow or change	dòng biến đổi	flow,change,trend,continuous,stream	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
force	physics	noun	coercive strength or power	sức mạnh	power,authority,coercion,law,control	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
framing	economics	noun	building a structure	làm khung	construction,building,wall,wood,structure,house	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
frequency	physics	noun	occurrence rate	tần suất	rate,occurrence,common,how often,statistics	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
friction	physics	noun	conflict or tension	xung đột	conflict,disagreement,tension,relationship,political	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
fusion	physics	noun	joining into one		join,combine,merge,union,integrate	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
gaming	economics	noun	gambling	đánh bạc	gambling,casino,bet,odds,wager,poker	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
gravitation	physics	noun	seriousness or importance	mức nghiêm trọng	serious,important,severe,solemnity,gravity	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
gravity	physics	noun	seriousness or importance	mức nghiêm trọng	serious,important,severe,solemnity,gravity	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
grit	economics	noun	small stone particles	sạn nhỏ	sand,stone,gravel,abrasive,particle	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
heuristic	economics	noun	discovery-guiding method	phương pháp tìm tòi	discovery,method,problem,search,algorithm,solution	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
immersion	economics	noun	being put under liquid	sự nhúng chìm	water,liquid,submerge,underwater,fluid	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
impedance	physics	noun	general obstruction or resistance	sự cản trở	obstacle,block,barrier,opposition,interference	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
impulse	physics	noun	sudden urge or stimulus	sự thôi thúc	urge,desire,sudden,emotion,stimulus	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
inertia	physics	noun	inactivity or reluctance	sự trì trệ	inactive,reluctant,delay,unwilling,habit	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
inflation	physics	noun	a general rise in prices		price,money,cost,economy,consumer,goods	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
inflationary	physics	adjective	tending to raise prices	gây lạm phát	price,money,cost,economy,consumer,goods	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
infrared	physics	noun	invisible heat radiation		heat,remote,thermal,camera,night,heat	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
interference	physics	noun	act of obstructing or meddling	sự can thiệp	meddling,obstruct,interrupt,politics,personal	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
ionisation	physics	noun	forming charged atoms		ion,charged,atom,electron,energy,plasma	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
leverage	economics	noun	mechanical force advantage	lợi thế đòn bẩy	machine,mechanical,force,lever,physics	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
leveraging	economics	verb	using borrowed funds	dùng vốn vay	loan,debt,borrowed,finance,capital,interest	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
