term	short_vi	review_status	review_method	source	source_license	review_note
abbey	tu viện	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/abbey	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	'tu viện' corresponds to 'a monastery building' and matches the sense label.
accelerate	tăng tốc	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/accelerate	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	'tăng tốc' is a correct Vietnamese translation for 'to speed up' and exactly matches the supplied translation.
acre	mẫu Anh	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/acre	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	sense 'unit of surface area' clearly matches 'a unit of land area' and 'mẫu Anh' is a usable Vietnamese translation present in the data.
admiral	đô đốc	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/admiral	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense = high-ranking naval officer; 'đô đốc' is the direct Vietnamese equivalent.
adultery	ngoại tình	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/adultery	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense is sexual intercourse by a married person with someone other than their spouse; 'ngoại tình' is the correct Vietnamese equivalent.
aesthetics	mỹ học	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/aesthetics	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	English gloss 'the study of beauty' matches sense 'study or philosophy of beauty'; 'mỹ học' is the correct Vietnamese translation present.
agile	nhanh nhẹn	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/agile	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss 'quick and nimble' matches sense 'having the faculty of quick motion in the limbs'; 'nhanh nhẹn' is an appropriate Vietnamese rendering.
algebra	đại số học	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/algebra	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense 1 ('study of algebraic structures') best matches the short gloss; 'đại số học' is a usable Vietnamese translation present in the supplied data.
allergy	dị ứng	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/allergy	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss matches the sense 'disorder of the immune system' and the translation 'dị ứng' is an exact, usable Vietnamese match.
almighty	toàn năng	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/almighty	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss 'having complete power' matches sense 'unlimited in might'; 'toàn năng' accurately reflects this in Vietnamese.
almond	hạnh nhân	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/almond	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense 'nut' matches 'an oval edible nut'; 'hạnh nhân' is the correct Vietnamese translation.
ammunition	đạn dược	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/ammunition	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss 'bullets or shells for weapons' directly matches the Vietnamese translation 'đạn dược' provided for the sense.
amnesty	ân xá	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/amnesty	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss 'an official pardon' directly corresponds to the provided translation 'ân xá'.
analog	tương tự	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/analog	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss 'using continuous, non-digital signals' matches sense 'represented by a continuously variable physical quantity' and 'tương tự' is an exact, usable Vietnamese translation present in the supplied list.
anesthesia	gây tê	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/anesthesia	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense 'loss of bodily sensation' matches short gloss 'loss of feeling from drugs'; translation 'gây tê' is an exact provided Vietnamese string and is usable.
announcer	phát thanh viên	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/announcer	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	English gloss 'a person who reads announcements' matches sense 'TV or radio announcer'; 'phát thanh viên' is an appropriate Vietnamese translation.
anthem	quốc ca	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/anthem	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	sense_label 'national anthem' matches short_en and 'quốc ca' is the correct Vietnamese gloss.
anthology	văn tuyển	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/anthology	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss 'a collection of writings' matches sense_label 'collection of literary works' and translation 'văn tuyển' is an appropriate Vietnamese equivalent.
anthropology	nhân loại học	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/anthropology	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense 'the study of humanity' matches 'the study of human societies'; Vietnamese translation 'nhân loại học' is present and appropriate.
antibiotic	kháng sinh | trụ sinh	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/antibiotic	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	'killing or stopping bacteria' matches the provided Vietnamese terms 'kháng sinh' and 'trụ sinh' (given together).
apostle	tông đồ	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/Apostle	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Matches 'any of the group of twelve disciples' (early followers of Jesus); 'tông đồ' is an appropriate Vietnamese term.
aquarium	bể cá	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/aquarium	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss 'a tank for keeping fish' exactly matches sense_label 0 and the Vietnamese translation 'bể cá'.
