term	lemma	short_en	short_vi	pos	domain	review_status	source	source_license	review_note
arms race	arms race	a competition for military supremacy	chạy đua vũ trang	phrase	general	approved	https://en.wiktionary.org/wiki/arms_race	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
bank account	bank account	fund deposited by a customer for safekeeping in a bank	tài khoản ngân hàng	phrase	general	approved	https://en.wiktionary.org/wiki/bank_account	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
black box	black box	recorders in an aircraft	hộp đen	phrase	general	approved	https://en.wiktionary.org/wiki/black_box	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
black coffee	black coffee	coffee served without cream or milk	cà phê đen	phrase	general	approved	https://en.wiktionary.org/wiki/black_coffee	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
black ice	black ice	invisible film of ice	băng đen	phrase	general	approved	https://en.wiktionary.org/wiki/black_ice	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
black magic	black magic	magic derived from evil forces	tà thuật	phrase	general	approved	https://en.wiktionary.org/wiki/black_magic	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
black market	black market	trade that is in violation of restrictions, rationing or price controls	chợ đen	phrase	general	approved	https://en.wiktionary.org/wiki/black_market	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
blood pressure	blood pressure	pressure exerted by the blood against the walls of the arteries and veins	huyết áp	phrase	general	approved	https://en.wiktionary.org/wiki/blood_pressure	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
blood test	blood test	a serologic analysis of a sample of blood	xét nghiệm máu	phrase	general	approved	https://en.wiktionary.org/wiki/blood_test	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
blood type	blood type	blood classification	nhóm máu	phrase	general	approved	https://en.wiktionary.org/wiki/blood_type	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
central bank	central bank	principal monetary authority of a polity or monetary union	ngân hàng trung ương	phrase	general	approved	https://en.wiktionary.org/wiki/central_bank	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
civil war	civil war	war between factions within a single country	nội chiến	phrase	general	approved	https://en.wiktionary.org/wiki/civil_war	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
cold war	cold war	a period of hostile relations	chiến tranh lạnh	phrase	general	approved	https://en.wiktionary.org/wiki/cold_war	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
common law	common law	legal system of England and its former colonies	thông luật	phrase	general	approved	https://en.wiktionary.org/wiki/common_law	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
common sense	common sense	ordinary understanding	lẽ thường	phrase	general	approved	https://en.wiktionary.org/wiki/common_sense	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
complex number	complex number	number of the form a + bi	số phức	phrase	general	approved	https://en.wiktionary.org/wiki/complex_number	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
computer program	computer program	software	chương trình máy tính	phrase	general	approved	https://en.wiktionary.org/wiki/computer_program	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
computer security	computer security	branch of computer science	an ninh mạng	phrase	general	approved	https://en.wiktionary.org/wiki/computer_security	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
cost of living	cost of living	average cost of a standard set of basic necessities of life	chi phí sinh hoạt	phrase	general	approved	https://en.wiktionary.org/wiki/cost_of_living	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
country code	country code	code representing a specific country or area	mã quốc gia	phrase	general	approved	https://en.wiktionary.org/wiki/country_code	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
court order	court order	a written command issued by a judge	án lệnh	phrase	general	approved	https://en.wiktionary.org/wiki/court_order	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
credit card	credit card	card connected to a credit account used to buy goods or services	thẻ tín dụng	phrase	general	approved	https://en.wiktionary.org/wiki/credit_card	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
data structure	data structure	organization of data	cấu trúc dữ liệu	phrase	general	approved	https://en.wiktionary.org/wiki/data_structure	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
